,2,1,0,
My child can...,YES,SOMETIMES,NOT YET,Score
24. hold head up when lying on tummy,,,,
25. pull up to stand,,,,
"26. stand holding on to something (such as, a table or couch)",,,,
27. walk holding on to someone or something,,,,
28. support weight on forearms when lying on tummy,,,,
29. bring one or both hands to mouth,,,,
30. hold a toy in hand,,,,
31. bring a toy or piece of food to mouth,,,,
32. hold a bottle or sippy cup,,,
